fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0005988023952095808,0.8944736923282782
0.0,0.005389221556886228,0.8456071792755735
0.0069767441860465115,0.005389221556886228,0.8391043860217773
0.0069767441860465115,0.005988023952095809,0.8390272357161664
0.009302325581395349,0.005988023952095809,0.8386479111646271
0.009302325581395349,0.015568862275449102,0.8097972330621137
0.011627906976744186,0.015568862275449102,0.8090657044290289
0.011627906976744186,0.016766467065868262,0.8068787484385224
0.013953488372093023,0.016766467065868262,0.8065208700900033
0.013953488372093023,0.023952095808383235,0.7883476615905837
0.01627906976744186,0.023952095808383235,0.7882851358046279
0.01627906976744186,0.029341317365269463,0.7805291887842766
0.018604651162790697,0.029341317365269463,0.780315373306392
0.018604651162790697,0.029940119760479042,0.7799036595323718
0.023255813953488372,0.029940119760479042,0.7741507914405031
0.023255813953488372,0.031137724550898204,0.7733788915643895
0.02558139534883721,0.031137724550898204,0.772302278599233
0.02558139534883721,0.0407185628742515,0.7654447839228605
0.027906976744186046,0.0407185628742515,0.7650443182438778
0.027906976744186046,0.04970059880239521,0.7553105490042635
0.030232558139534883,0.04970059880239521,0.754121123899285
0.030232558139534883,0.05029940119760479,0.7539013403770143
0.03255813953488372,0.05029940119760479,0.7525529151685879
0.03255813953488372,0.05568862275449102,0.7487080167266544
0.03488372093023256,0.05568862275449102,0.7483936791104693
0.03488372093023256,0.05688622754491018,0.7475580816659966
0.037209302325581395,0.05688622754491018,0.7461680781756642
0.037209302325581395,0.05808383233532934,0.7445870455803817
0.03953488372093023,0.05808383233532934,0.7437554010516834
0.03953488372093023,0.058682634730538925,0.7435460664935769
0.044186046511627906,0.058682634730538925,0.7424839330708367
0.044186046511627906,0.06227544910179641,0.7401702609244997
0.046511627906976744,0.06227544910179641,0.7401119185997214
0.046511627906976744,0.06287425149700598,0.7398790855606084
0.04883720930232558,0.06287425149700598,0.7395044172991295
0.04883720930232558,0.06706586826347305,0.737576503827532
0.05116279069767442,0.06706586826347305,0.7372822134246982
0.05116279069767442,0.07245508982035928,0.7334113619280963
0.053488372093023255,0.07245508982035928,0.7323244934392563
0.053488372093023255,0.07305389221556886,0.7322398849240989
0.05581395348837209,0.07305389221556886,0.7317776584297022
0.05581395348837209,0.07425149700598803,0.7305413310890411
0.05813953488372093,0.07425149700598803,0.7304565828873141
0.05813953488372093,0.0844311377245509,0.7225773704775488
0.06046511627906977,0.0844311377245509,0.7224423001496798
0.06046511627906977,0.08922155688622754,0.7185655866670451
0.06511627906976744,0.08922155688622754,0.7184184688413929
0.06511627906976744,0.10778443113772455,0.707463269731829
0.06744186046511629,0.10778443113772455,0.7074004450569212
0.06744186046511629,0.1125748502994012,0.7043499937573469
