,0
base_monthly_value,0.1673323358882202
revenue_last_90d,0.14574551384749565
tenure_days,0.1038928697309231
days_since_last_visit,0.10213403513967269
days_since_last_order,0.08681187357516498
visit_order_ratio,0.06279372737905863
tier_C,0.05704090969119528
visits_last_90d,0.055517946766436545
orders_last_180d,0.042758799932232645
tier_B,0.0229284057741894
competitor_mentions_180d,0.020436281317571754
risk_score,0.01692574830742295
tier_A,0.014127670833773526
region_台中,0.013528857334598762
channel_診所,0.01237241258472389
region_花東,0.012026497173511277
region_台南,0.010607827694221953
channel_藥局,0.009506657370710932
channel_藥妝通路,0.00922192449439695
competitor_pressure,0.008455087481015842
region_高雄,0.007541345704398671
region_桃園,0.006458036002781265
region_台北,0.00444804147363118
region_新北,0.003713445863347427
channel_醫院,0.003673748639304586
revenue_prev_90d,0.0
visits_prev_90d,0.0
revenue_trend,0.0
